City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Camacha,PT,68.54,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
3,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
8,Lake City,US,78.85,overcast clouds,30.1897,-82.6393,Ramada Limited Lake City
13,Talcher,IN,68.05,few clouds,20.95,85.2167,Hotel Green Park
14,Ambilobe,MG,78.1,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
15,Rikitea,PF,78.22,light rain,-23.1203,-134.9692,People ThankYou
17,Yulara,AU,68.45,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
23,Benguela,AO,78.12,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
27,Coihaique,CL,66.72,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
28,Puerto Ayora,EC,78.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
35,Geraldton,AU,72.01,clear sky,-28.7667,114.6,Broadwater Mariner Resort
46,Busselton,AU,71.1,clear sky,-33.65,115.3333,Observatory Guest House
47,Meulaboh,ID,77.54,overcast clouds,4.1363,96.1285,Kost Pria
48,Liku,ID,75.06,overcast clouds,-0.7275,119.8922,Wahyu
55,Auki,SB,77.29,overcast clouds,-8.7676,160.7034,Auki Motel
56,Carolina,PR,79.48,shower rain,18.3808,-65.9574,Motel Fantasy Star
68,Hilo,US,69.24,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
69,Atuona,PF,78.39,clear sky,-9.8,-139.0333,Villa Enata
70,Cape Town,ZA,71.35,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
72,Coquimbo,CL,71.33,few clouds,-29.9533,-71.3436,Hostel Del Puerto
76,Lima,PE,75.45,clear sky,-12.0432,-77.0282,Gran Hotel Bolivar Lima
78,Port Alfred,ZA,68.4,light rain,-33.5906,26.891,The Halyards Hotel
79,Shurugwi,ZW,69.06,few clouds,-19.6702,30.0059,Flame Lily Lodge
81,Honiara,SB,77.83,overcast clouds,-9.4333,159.95,Heritage Park Hotel
82,Vaini,TO,75.36,heavy intensity rain,-21.2,-175.2,Keleti Beach Resort
84,Bengkulu,ID,73.56,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
92,Sao Filipe,CV,74.82,clear sky,14.8961,-24.4956,Hotel Xaguate
98,Cabo San Lucas,MX,70.52,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
101,Tiznit,MA,68.94,overcast clouds,29.5833,-9.5,
105,Bataipora,BR,78.35,overcast clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
106,Sal Rei,CV,75.76,few clouds,16.1833,-22.9167,Marine Club Beach Resort
107,Bandarbeyla,SO,76.03,clear sky,9.4942,50.8122,JABIR HOTEL
113,Hermanus,ZA,75.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
115,Tortosa,ES,65.55,overcast clouds,40.8125,0.5216,Parador de Tortosa
119,Port Blair,IN,78.55,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
124,Cidreira,BR,76.8,overcast clouds,-30.1811,-50.2056,Hotel Castelo
129,Los Llanos De Aridane,ES,66.13,few clouds,28.6585,-17.9182,Valle Aridane
130,Kapaa,US,66.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
132,Castro,BR,66.24,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
136,Constitucion,CL,68.92,few clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
139,Mar Del Plata,AR,73.42,few clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
