City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,68.75,161.3,-34.64,99,9,3.8,clear sky
1,Torbay,CA,47.6666,-52.7314,32.95,95,100,10.36,fog
2,Camacha,PT,33.0833,-16.3333,68.54,82,20,3.44,few clouds
3,Avarua,CK,-21.2078,-159.775,77.05,83,20,4.61,few clouds
4,Yar-Sale,RU,66.8333,70.8333,6.1,97,100,2.8,light snow
5,Sirvintos,LT,55.05,24.95,29.75,94,98,13.22,overcast clouds
6,Nanortalik,GL,60.1432,-45.2371,10.89,83,100,41.96,light snow
7,Sarangani,PH,5.4033,125.4636,80.87,72,100,20.4,overcast clouds
8,Lake City,US,30.1897,-82.6393,78.85,61,100,13.8,overcast clouds
9,Sao Felix Do Xingu,BR,-6.6447,-51.995,90.03,50,67,2.66,broken clouds
10,Qingyuan,CN,23.7,113.0333,46.38,82,6,5.57,clear sky
11,New Norfolk,AU,-42.7826,147.0587,57.92,75,85,2.06,overcast clouds
12,Diu,IN,20.7141,70.9822,64.83,54,1,5.99,clear sky
13,Talcher,IN,20.95,85.2167,68.05,61,16,3.71,few clouds
14,Ambilobe,MG,-13.2,49.05,78.1,83,100,11.88,light rain
15,Rikitea,PF,-23.1203,-134.9692,78.22,71,87,9.57,light rain
16,Mount Gambier,AU,-37.8333,140.7667,53.51,94,12,8.05,few clouds
17,Yulara,AU,-25.2406,130.9889,68.45,38,2,8.21,clear sky
18,Balkhash,KZ,46.844,74.9804,8.71,82,5,12.53,clear sky
19,Arman,RU,59.7,150.1667,-2.45,72,96,12.26,overcast clouds
20,Nikolskoye,RU,59.7035,30.7861,19.29,95,81,7.78,broken clouds
21,Wanning,CN,18.8003,110.3967,62.24,87,100,10.2,overcast clouds
22,Longkou,CN,37.6508,120.3286,28.69,41,11,14.79,few clouds
23,Benguela,AO,-12.5763,13.4055,78.12,65,97,8.23,overcast clouds
24,Haimen,CN,23.1935,116.6142,54.39,76,100,9.35,overcast clouds
25,Pevek,RU,69.7008,170.3133,-24.41,100,93,3.85,overcast clouds
26,Qaanaaq,GL,77.484,-69.3632,-7.08,62,86,8.95,overcast clouds
27,Coihaique,CL,-45.5752,-72.0662,66.72,48,85,0.65,overcast clouds
28,Puerto Ayora,EC,-0.7393,-90.3518,78.55,85,42,4.0,scattered clouds
29,Yellowknife,CA,62.456,-114.3525,-33.72,67,20,3.44,mist
30,Khatanga,RU,71.9667,102.5,-35.09,100,98,3.38,overcast clouds
31,Mataura,NZ,-46.1927,168.8643,49.48,98,100,2.15,overcast clouds
32,Ushuaia,AR,-54.8,-68.3,60.8,40,54,2.39,broken clouds
33,Chuy,UY,-33.6971,-53.4616,80.76,69,36,6.15,scattered clouds
34,Touros,BR,-5.1989,-35.4608,86.74,54,66,16.53,broken clouds
35,Geraldton,AU,-28.7667,114.6,72.01,60,0,3.44,clear sky
36,Chokurdakh,RU,70.6333,147.9167,-30.73,100,61,1.52,broken clouds
37,Hobart,AU,-42.8794,147.3294,58.26,86,90,5.75,overcast clouds
38,Tamale,GH,9.4008,-0.8393,95.9,7,0,6.29,clear sky
39,Saskylakh,RU,71.9167,114.0833,-7.92,99,100,4.25,light snow
40,Raudeberg,NO,61.9875,5.1352,36.86,93,100,8.99,light snow
41,Pangody,RU,65.85,74.4859,9.34,97,100,2.39,light snow
42,Solhan,TR,38.9634,41.0293,26.6,97,100,2.3,overcast clouds
43,Kaitangata,NZ,-46.2817,169.8464,51.93,80,100,5.48,overcast clouds
44,Mehamn,NO,71.0357,27.8492,13.95,85,0,28.77,clear sky
45,Serenje,ZM,-13.2325,30.2352,60.85,98,100,7.14,overcast clouds
46,Busselton,AU,-33.65,115.3333,71.1,67,0,5.41,clear sky
47,Meulaboh,ID,4.1363,96.1285,77.54,87,100,3.96,overcast clouds
48,Liku,ID,-0.7275,119.8922,75.06,94,96,1.1,overcast clouds
49,Eyrarbakki,IS,63.863,-21.1481,38.44,82,44,6.78,scattered clouds
50,Nidzica,PL,53.3605,20.4275,36.99,99,100,9.1,overcast clouds
51,Marawi,PH,7.9986,124.2928,64.65,90,100,2.98,overcast clouds
52,Ondangwa,NA,-17.9167,15.95,82.26,35,84,5.88,broken clouds
53,Hithadhoo,MV,-0.6,73.0833,82.29,73,50,11.32,scattered clouds
54,Ribas Do Rio Pardo,BR,-20.4431,-53.7592,85.17,67,47,8.68,scattered clouds
55,Auki,SB,-8.7676,160.7034,77.29,88,100,4.88,overcast clouds
56,Carolina,PR,18.3808,-65.9574,79.48,92,75,13.8,shower rain
57,Albany,US,42.6001,-73.9662,27.09,87,100,1.01,overcast clouds
58,Lichinga,MZ,-13.3128,35.2406,63.14,97,62,7.72,light rain
59,Spilimbergo,IT,46.1125,12.8969,49.93,74,95,3.31,overcast clouds
60,Portland,US,45.5234,-122.6762,40.24,95,75,1.01,fog
61,Ndioum,SN,16.5129,-14.6471,92.64,5,0,10.09,clear sky
62,Punta Arenas,CL,-53.15,-70.9167,50.11,49,9,6.55,clear sky
63,Jamestown,US,42.097,-79.2353,22.32,62,100,4.0,overcast clouds
64,Baker City,US,44.7749,-117.8344,31.14,90,92,6.33,overcast clouds
65,Santo Antonio Do Ica,BR,-3.1022,-67.9397,81.99,83,100,2.66,overcast clouds
66,Bluff,NZ,-46.6,168.3333,49.8,65,61,9.86,broken clouds
67,Longyearbyen,SJ,78.2186,15.6401,15.64,62,0,25.32,clear sky
