City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Grand-Santi,4.25,-54.3833,72.46,98,52,3.06,GF,2022-01-26 22:19:42
1,Georgetown,5.4112,100.3354,78.73,93,40,3.44,MY,2022-01-26 22:19:42
2,Hithadhoo,-0.6,73.0833,81.32,74,100,21.65,MV,2022-01-26 22:19:42
3,Hermanus,-34.4187,19.2345,65.8,81,97,13.13,ZA,2022-01-26 22:19:43
4,Mareeba,-17.0,145.4333,76.44,96,100,2.57,AU,2022-01-26 22:19:43
5,Ushuaia,-54.8,-68.3,51.46,71,75,32.21,AR,2022-01-26 22:19:43
6,Beloha,-25.1667,45.05,70.48,84,0,14.14,MG,2022-01-26 22:19:44
7,Touros,-5.1989,-35.4608,81.5,74,34,13.31,BR,2022-01-26 22:19:44
8,Punta Arenas,-53.15,-70.9167,55.51,67,0,29.93,CL,2022-01-26 22:15:36
9,Iqaluit,63.7506,-68.5145,-22.27,69,20,2.3,CA,2022-01-26 22:19:44
10,Buraydah,26.326,43.975,57.65,29,2,9.24,SA,2022-01-26 22:19:02
11,Albany,42.6001,-73.9662,17.74,49,17,8.01,US,2022-01-26 22:15:46
12,Tabou,4.423,-7.3528,79.16,79,31,7.74,CI,2022-01-26 22:19:45
13,Belyy Yar,53.6039,91.3903,-2.31,84,100,0.0,RU,2022-01-26 22:19:45
14,Zhangye,38.9342,100.4517,17.37,48,100,1.16,CN,2022-01-26 22:19:46
15,Ajdabiya,30.7554,20.2263,53.31,61,94,9.19,LY,2022-01-26 22:19:46
16,Lavrentiya,65.5833,-171.0,-20.49,89,30,4.65,RU,2022-01-26 22:19:46
17,Tiksi,71.6872,128.8694,-1.71,90,12,17.56,RU,2022-01-26 22:19:47
18,Harper,4.375,-7.7169,79.25,79,28,8.68,LR,2022-01-26 22:19:47
19,Delta Del Tigre,-34.7633,-56.3853,72.9,85,100,10.0,UY,2022-01-26 22:19:47
20,Sinnamary,5.3833,-52.95,75.87,87,56,7.65,GF,2022-01-26 22:19:48
21,Clyde River,70.4692,-68.5914,-7.37,84,100,34.52,CA,2022-01-26 22:19:48
22,Hobart,-42.8794,147.3294,70.27,67,75,5.99,AU,2022-01-26 22:15:28
23,Kloulklubed,7.0419,134.2556,77.5,81,89,18.63,PW,2022-01-26 22:19:48
24,Thompson,55.7435,-97.8558,3.36,66,75,14.97,CA,2022-01-26 22:19:49
25,Vila Franca Do Campo,37.7167,-25.4333,59.41,74,78,10.76,PT,2022-01-26 22:19:49
26,Port Alfred,-33.5906,26.891,73.06,90,94,5.88,ZA,2022-01-26 22:19:50
27,Rikitea,-23.1203,-134.9692,78.24,77,10,19.01,PF,2022-01-26 22:19:50
28,Voloshka,61.3314,40.0858,-8.5,100,100,2.93,RU,2022-01-26 22:19:50
29,Kapaa,22.0752,-159.319,79.12,71,75,1.01,US,2022-01-26 22:19:51
30,Aklavik,68.2191,-135.0107,2.23,78,75,9.22,CA,2022-01-26 22:19:51
31,Cabo San Lucas,22.8909,-109.9124,76.6,49,0,1.99,MX,2022-01-26 22:19:43
32,Port Elizabeth,-33.918,25.5701,69.1,94,100,6.91,ZA,2022-01-26 22:19:52
33,Busselton,-33.65,115.3333,56.57,88,5,11.1,AU,2022-01-26 22:19:52
34,Haines Junction,60.7522,-137.5108,19.35,86,100,1.14,CA,2022-01-26 22:19:52
35,Tasiilaq,65.6145,-37.6368,15.96,76,100,5.32,GL,2022-01-26 22:19:53
36,Bereda,43.2686,-7.5406,45.91,96,53,2.98,ES,2022-01-26 22:19:53
37,Palmer,42.1584,-72.3287,21.47,39,0,1.99,US,2022-01-26 22:17:05
38,Anito,12.4497,125.2886,77.85,92,93,9.24,PH,2022-01-26 22:19:53
39,Port Hardy,50.6996,-127.4199,42.98,75,75,0.0,CA,2022-01-26 22:19:54
40,Bengkulu,-3.8004,102.2655,76.62,87,100,4.41,ID,2022-01-26 22:19:54
41,Mataura,-46.1927,168.8643,57.47,68,40,7.27,NZ,2022-01-26 22:19:54
42,Ahipara,-35.1667,173.1667,70.81,63,87,14.0,NZ,2022-01-26 22:19:55
43,Saskylakh,71.9167,114.0833,-4.81,90,71,6.71,RU,2022-01-26 22:19:55
44,Havoysund,70.9963,24.6622,29.28,86,100,8.63,NO,2022-01-26 22:19:55
45,Hasaki,35.7333,140.8333,30.6,78,53,6.51,JP,2022-01-26 22:19:56
46,Doba,8.65,16.85,73.31,21,94,6.08,TD,2022-01-26 22:19:56
47,Kasongo-Lunda,-6.4667,16.8167,69.48,97,93,1.97,CD,2022-01-26 22:19:56
48,Portland,45.5234,-122.6762,53.11,60,20,1.01,US,2022-01-26 22:16:57
